Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /kv/{key},7293,0,2,3.6815161144494475,0.5450421012938023,166.6137920692563,99.79788838612367,427.950493544646,0.0,2,2,3,3,5,8,22,62,120,170,170
PUT,PUT /kv/{key},761,0,1207.1332500781864,1230.3568902722243,1207.1332500781864,1391.5356250945479,99.83442838370566,44.65519341662904,0.0,1200,1200,1200,1200,1300,1300,1300,1400,1400,1400,1400
,Aggregated,8054,0,2,119.58665141790942,0.5450421012938023,1391.5356250945479,99.80134094859697,472.605686961275,0.0,2,3,4,5,79,1200,1200,1300,1400,1400,1400
