Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /kv/{key},13198,0,160.0,169.4761276995263,151.6538339201361,427.9803750105202,75.86975299287771,425.33994388315733,0.0,160,160,170,200,210,210,230,270,360,410,430
PUT,PUT /kv/{key},117,0,1,3.779909485935146,0.7657501846551895,191.0325000062585,82.8974358974359,3.770629901070572,0.0,1,2,3,3,5,5,13,14,190,190,190
,Aggregated,13315,0,160.0,168.02014140354507,0.7657501846551895,427.9803750105202,75.93150582050319,429.11057378422794,0.0,160,160,160,200,210,210,230,260,360,410,430
