timestamp_ms,key,delta_ms
1775447759255,key-40,280
1775447759267,key-6,166
1775447759281,key-14,271
1775447759282,key-32,160
1775447759283,key-24,161
1775447759295,key-26,161
1775447759300,key-40,170
1775447759308,key-36,255
1775447759316,key-26,182
1775447759316,key-4,166
1775447759318,key-47,214
1775447759320,key-41,213
1775447759332,key-44,178
1775447759338,key-40,208
1775447759341,key-25,202
1775447759356,key-10,182
1775447759356,key-22,214
1775447759368,key-9,216
1775447759390,key-23,191
1775447759391,key-38,171
1775447759393,key-21,178
1775447759401,key-1,253
1775447759413,key-28,215
1775447759442,key-42,167
1775447759454,key-14,177
1775447759458,key-23,164
1775447759470,key-12,223
1775447759492,key-12,245
1775447759493,key-18,170
1775447759493,key-43,177
1775447759494,key-26,185
1775447759508,key-23,214
1775447759509,key-35,167
1775447759532,key-29,174
1775447759535,key-48,179
1775447759545,key-50,166
1775447759550,key-4,173
1775447759553,key-23,211
1775447759566,key-12,173
1775447759571,key-33,168
1775447759578,key-34,166
1775447759583,key-18,212
1775447759584,key-50,160
1775447759597,key-40,180
1775447759607,key-22,166
1775447759611,key-5,214
1775447759612,key-47,169
1775447759618,key-2,222
1775447759633,key-4,169
1775447759649,key-18,176
1775447759650,key-10,175
1775447759652,key-14,166
1775447759669,key-9,166
1775447759691,key-12,279
1775447759714,key-26,269
1775447759714,key-48,162
1775447759728,key-19,165
1775447759733,key-5,174
1775447759759,key-24,219
1775447759762,key-39,210
1775447759771,key-9,248
1775447759779,key-47,171
1775447759779,key-50,251
1775447759791,key-25,210
1775447759794,key-29,207
1775447759807,key-1,241
1775447759814,key-10,159
1775447759826,key-46,158
1775447759833,key-23,320
1775447759836,key-42,163
1775447759852,key-15,239
1775447759853,key-12,228
1775447759867,key-44,199
1775447759873,key-16,210
1775447759877,key-21,170
1775447759894,key-45,156
1775447759909,key-12,213
1775447759911,key-39,157
1775447759911,key-33,217
1775447759918,key-39,157
1775447759924,key-18,163
1775447759926,key-16,168
1775447759934,key-24,164
1775447759943,key-9,173
1775447759948,key-21,167
1775447759953,key-46,166
1775447759961,key-22,269
1775447759972,key-26,160
1775447759992,key-25,159
1775447759995,key-3,157
1775447759997,key-46,165
1775447760020,key-20,170
1775447760027,key-19,168
1775447760061,key-34,213
1775447760064,key-1,167
1775447760066,key-31,211
1775447760073,key-37,162
1775447760075,key-36,155
1775447760075,key-12,170
1775447760117,key-5,188
1775447760119,key-25,286
1775447760124,key-2,246
1775447760138,key-5,174
1775447760138,key-17,211
1775447760146,key-12,241
1775447760146,key-36,226
1775447760155,key-13,261
1775447760164,key-3,194
1775447760169,key-3,174
1775447760175,key-31,168
1775447760183,key-40,244
1775447760187,key-25,198
1775447760199,key-8,249
1775447760204,key-21,324
1775447760220,key-23,269
1775447760224,key-30,183
1775447760225,key-41,173
1775447760226,key-1,166
1775447760233,key-29,167
1775447760286,key-24,208
1775447760288,key-20,216
1775447760301,key-27,223
1775447760313,key-7,176
1775447760314,key-26,246
1775447760314,key-15,284
1775447760314,key-3,232
1775447760336,key-2,176
1775447760337,key-32,181
1775447760350,key-8,172
1775447760374,key-45,192
1775447760389,key-18,235
1775447760389,key-31,232
1775447760401,key-46,164
1775447760404,key-27,209
1775447760407,key-29,155
1775447760417,key-6,192
1775447760464,key-28,175
1775447760465,key-42,208
1775447760466,key-48,179
1775447760467,key-23,162
1775447760472,key-47,221
1775447760473,key-23,168
1775447760477,key-21,162
1775447760485,key-32,167
1775447760487,key-14,194
1775447760488,key-27,158
1775447760489,key-19,169
1775447760497,key-40,164
1775447760498,key-23,255
1775447760514,key-27,165
1775447760515,key-28,195
1775447760518,key-36,158
1775447760528,key-2,161
1775447760529,key-45,169
1775447760539,key-29,165
1775447760554,key-47,171
1775447760555,key-30,158
1775447760559,key-17,223
1775447760560,key-49,161
1775447760563,key-4,194
1775447760568,key-8,390
1775447760568,key-5,192
1775447760568,key-17,169
1775447760577,key-37,172
1775447760579,key-40,156
1775447760583,key-4,214
1775447760587,key-6,172
1775447760593,key-6,164
1775447760618,key-2,162
1775447760623,key-11,164
1775447760623,key-44,165
1775447760632,key-38,281
1775447760638,key-36,185
1775447760645,key-42,158
1775447760662,key-23,172
1775447760666,key-23,159
1775447760673,key-17,163
1775447760676,key-27,158
1775447760680,key-27,162
1775447760684,key-45,179
1775447760689,key-31,157
1775447760694,key-44,164
1775447760708,key-50,162
1775447760712,key-11,156
1775447760713,key-24,160
1775447760716,key-4,165
1775447760728,key-20,162
1775447760753,key-15,163
1775447760768,key-29,277
1775447760779,key-4,228
1775447760788,key-30,167
1775447760840,key-17,159
1775447760845,key-2,156
1775447760846,key-17,157
1775447760857,key-26,176
1775447760859,key-25,331
1775447760860,key-1,206
1775447760865,key-14,256
1775447760865,key-38,206
1775447760872,key-29,165
1775447760877,key-11,167
1775447760892,key-19,163
1775447760896,key-47,177
1775447760903,key-26,162
1775447760914,key-26,173
1775447760914,key-36,158
1775447760915,key-24,157
1775447760915,key-7,168
1775447760917,key-49,173
1775447760932,key-46,158
1775447760937,key-42,222
1775447760947,key-4,218
1775447760947,key-21,227
1775447760952,key-29,161
1775447760962,key-4,172
1775447760975,key-18,206
1775447760976,key-25,164
1775447760985,key-43,162
1775447760988,key-35,157
1775447760999,key-7,183
1775447761002,key-35,171
1775447761007,key-25,168
1775447761011,key-2,164
1775447761012,key-9,167
1775447761014,key-25,175
1775447761020,key-17,218
1775447761021,key-2,174
1775447761023,key-30,185
1775447761032,key-26,237
1775447761038,key-25,206
1775447761040,key-43,169
1775447761040,key-38,174
1775447761054,key-20,157
1775447761065,key-35,183
1775447761082,key-50,157
1775447761087,key-48,160
1775447761091,key-31,166
1775447761095,key-10,164
1775447761097,key-48,159
1775447761100,key-9,169
1775447761106,key-1,157
1775447761107,key-38,169
1775447761108,key-50,215
1775447761117,key-2,185
1775447761130,key-1,181
1775447761142,key-3,182
1775447761161,key-13,159
1775447761164,key-15,314
1775447761181,key-45,211
1775447761183,key-23,160
1775447761187,key-13,234
1775447761195,key-49,166
1775447761201,key-49,172
1775447761208,key-4,187
1775447761215,key-20,206
1775447761229,key-35,157
1775447761235,key-47,165
1775447761236,key-49,161
1775447761238,key-8,232
1775447761240,key-23,168
1775447761252,key-12,177
1775447761252,key-47,168
1775447761260,key-11,216
1775447761262,key-2,162
1775447761262,key-25,167
1775447761264,key-31,235
1775447761269,key-41,240
1775447761273,key-48,165
1775447761289,key-17,156
1775447761289,key-37,238
1775447761308,key-31,279
1775447761312,key-44,165
1775447761313,key-33,176
1775447761315,key-29,210
1775447761315,key-25,175
1775447761317,key-25,177
1775447761321,key-17,218
1775447761325,key-22,214
1775447761334,key-41,170
1775447761338,key-1,267
1775447761339,key-33,202
1775447761364,key-33,227
1775447761376,key-26,170
1775447761383,key-35,156
1775447761385,key-16,168
1775447761388,key-6,155
1775447761389,key-32,224
1775447761393,key-6,259
1775447761394,key-38,168
1775447761395,key-36,163
1775447761411,key-34,247
1775447761426,key-6,187
1775447761433,key-22,155
1775447761441,key-46,169
1775447761446,key-6,207
1775447761464,key-31,170
1775447761471,key-19,163
1775447761471,key-10,164
1775447761471,key-20,175
1775447761477,key-50,261
1775447761483,key-6,213
1775447761485,key-14,280
1775447761495,key-13,187
1775447761496,key-29,161
1775447761505,key-26,161
1775447761519,key-16,176
1775447761521,key-45,171
1775447761524,key-6,167
1775447761524,key-28,181
1775447761527,key-21,157
1775447761528,key-17,169
1775447761528,key-13,186
1775447761536,key-11,208
1775447761538,key-26,184
1775447761546,key-35,276
1775447761566,key-40,161
1775447761571,key-10,167
1775447761575,key-15,163
1775447761579,key-5,160
1775447761582,key-23,157
1775447761595,key-6,160
1775447761612,key-35,342
1775447761616,key-17,163
1775447761618,key-8,290
1775447761618,key-43,162
1775447761620,key-39,160
1775447761626,key-37,217
1775447761628,key-38,168
1775447761646,key-13,171
1775447761647,key-32,173
1775447761648,key-5,161
1775447761650,key-14,170
1775447761654,key-31,159
1775447761660,key-17,207
1775447761667,key-15,157
1775447761670,key-40,157
1775447761673,key-13,167
1775447761679,key-10,164
1775447761687,key-15,165
1775447761697,key-11,161
1775447761708,key-24,161
1775447761714,key-16,161
1775447761725,key-18,164
1775447761727,key-25,163
1775447761730,key-27,158
1775447761745,key-7,204
1775447761748,key-1,207
1775447761748,key-15,158
1775447761750,key-26,215
1775447761768,key-13,208
1775447761775,key-18,214
1775447761781,key-37,165
1775447761787,key-49,172
1775447761796,key-30,214
1775447761800,key-22,163
1775447761811,key-23,162
1775447761819,key-44,156
1775447761822,key-11,270
1775447761823,key-14,167
1775447761830,key-40,192
1775447761836,key-14,180
1775447761841,key-6,165
1775447761847,key-26,158
1775447761848,key-37,187
1775447761857,key-17,166
1775447761865,key-12,160
1775447761866,key-30,178
1775447761869,key-15,165
1775447761877,key-16,162
1775447761880,key-9,161
1775447761882,key-38,163
1775447761890,key-36,213
1775447761897,key-2,172
1775447761898,key-25,170
1775447761903,key-45,161
1775447761917,key-32,162
1775447761918,key-38,247
1775447761921,key-26,232
1775447761937,key-31,213
1775447761945,key-16,181
1775447761951,key-28,172
1775447761952,key-6,185
1775447761953,key-16,189
1775447761957,key-19,164
1775447761959,key-2,212
1775447761976,key-13,270
1775447761981,key-12,209
1775447761990,key-33,162
1775447761995,key-44,210
1775447761998,key-32,166
1775447761999,key-44,184
1775447762002,key-37,172
1775447762012,key-33,184
1775447762017,key-19,158
1775447762021,key-50,224
1775447762024,key-3,165
1775447762028,key-19,156
1775447762042,key-38,167
1775447762049,key-36,180
1775447762071,key-45,161
1775447762072,key-23,285
1775447762072,key-45,162
1775447762083,key-20,280
1775447762090,key-30,166
1775447762098,key-24,169
1775447762102,key-42,161
1775447762105,key-30,156
1775447762105,key-18,163
1775447762122,key-35,170
1775447762127,key-1,167
1775447762131,key-15,206
1775447762135,key-38,154
1775447762138,key-32,256
1775447762140,key-8,207
1775447762141,key-33,313
1775447762145,key-10,222
1775447762149,key-21,194
1775447762150,key-6,157
1775447762150,key-6,194
1775447762151,key-30,216
1775447762151,key-16,221
1775447762170,key-23,156
1775447762174,key-4,228
1775447762181,key-10,162
1775447762181,key-13,161
1775447762183,key-38,186
1775447762193,key-17,160
1775447762209,key-45,299
1775447762217,key-38,162
1775447762218,key-38,163
1775447762223,key-25,165
1775447762228,key-49,159
1775447762242,key-41,157
1775447762243,key-28,170
1775447762261,key-50,175
1775447762261,key-49,192
1775447762272,key-36,156
1775447762275,key-9,454
1775447762276,key-18,190
1775447762284,key-36,158
1775447762296,key-13,194
1775447762298,key-4,165
1775447762307,key-32,161
1775447762327,key-49,168
1775447762331,key-18,245
1775447762334,key-6,217
1775447762335,key-38,166
1775447762335,key-26,159
1775447762336,key-26,160
1775447762337,key-26,161
1775447762343,key-6,167
1775447762347,key-32,160
1775447762354,key-11,155
1775447762354,key-11,155
1775447762358,key-29,166
1775447762361,key-11,162
1775447762362,key-24,200
