Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /kv/{key},623,0,110.0,93.32167936816369,51.85229214839637,390.76087484136224,84.92455858747994,15.16054238538268,0.0,110,110,110,110,110,130,160,180,390,390,390
PUT,PUT /kv/{key},5465,0,610.0,618.3262138612132,603.0428330413997,952.8910419903696,84.8850869167429,132.98934853309206,0.0,610,610,620,620,630,660,710,810,920,950,950
,Aggregated,6088,0,610.0,564.6012097565532,51.85229214839637,952.8910419903696,84.88912614980289,148.1498909184747,0.0,610,610,610,620,630,650,700,800,910,950,950
