Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /kv/{key},121729,0,2,3.785542942183532,0.4237499088048935,250.94054196961224,84.82313992557238,1960.5880298991956,0.0,2,3,3,4,6,10,18,29,110,220,250
PUT,PUT /kv/{key},1224,0,1204.1410421952605,1212.6989851565347,1204.1410421952605,1305.6796249002218,84.81290849673202,19.71395270310785,0.0,1200,1200,1200,1200,1200,1200,1200,1300,1300,1300,1300
,Aggregated,122953,0,2,15.82030462567532,0.4237499088048935,1305.6796249002218,84.8230380714582,1980.3019826023035,0.0,2,3,4,4,7,12,28,230,1200,1300,1300
