timestamp_ms,key,delta_ms
1775447669410,key-3,196
1775447669571,key-16,357
1775447669592,key-47,378
1775447669622,key-3,408
1775447669795,key-47,581
1775447669870,key-47,656
1775447669972,key-3,758
1775447669978,key-47,764
1775447670018,key-47,804
1775447670076,key-3,862
1775447670161,key-24,156
1775447670180,key-16,966
1775447670260,key-24,255
1775447670266,key-47,1052
1775447670338,key-24,333
1775447670364,key-3,1150
1775447670368,key-47,1154
1775447670369,key-47,1155
1775447670395,key-48,186
1775447670406,key-17,197
1775447670415,key-24,410
1775447670451,key-47,1237
1775447670587,key-48,378
1775447670605,key-47,1391
1775447670613,key-24,608
1775447670636,key-48,427
1775447670813,key-47,1599
1775447670815,key-47,1601
1775447670857,key-48,648
1775447670866,key-32,525
1775447670960,key-48,751
1775447671048,key-5,245
1775447671088,key-47,1874
1775447671088,key-47,1874
1775447671095,key-47,1881
1775447671188,key-44,225
1775447671207,key-43,161
1775447671225,key-44,262
1775447671245,key-48,1036
1775447671280,key-24,238
1775447671292,key-44,329
1775447671357,key-47,2143
1775447671361,key-31,239
1775447671365,key-29,293
1775447671383,key-40,179
1775447671395,key-31,273
1775447671396,key-47,2182
1775447671396,key-8,270
1775447671413,key-19,210
1775447671438,key-3,351
1775447671453,key-24,411
1775447671470,key-43,424
1775447671551,key-29,479
1775447671561,key-47,2347
1775447671572,key-8,446
1775447671580,key-19,377
1775447671582,key-19,379
1775447671586,key-29,514
1775447671667,key-43,621
1775447671704,key-2,198
1775447671727,key-31,286
1775447671728,key-47,2514
1775447671749,key-29,677
1775447671750,key-19,547
1775447671769,key-21,229
1775447671770,key-47,2556
1775447671770,key-21,230
1775447671789,key-2,182
1775447671802,key-47,2588
1775447671839,key-32,1498
1775447671840,key-19,637
1775447671840,key-44,877
1775447671864,key-47,2650
1775447671889,key-43,843
1775447671916,key-47,2702
1775447671925,key-43,879
1775447671942,key-21,402
1775447671961,key-2,354
1775447671990,key-20,485
1775447671992,key-21,452
1775447672011,key-29,939
1775447672024,key-21,484
1775447672028,key-37,712
1775447672053,key-47,2839
1775447672055,key-13,1033
1775447672086,key-19,883
1775447672107,key-16,2893
1775447672111,key-3,1024
1775447672122,key-44,1159
1775447672140,key-7,286
1775447672171,key-20,666
1775447672175,key-21,635
1775447672179,key-43,1133
1775447672191,key-29,1119
1775447672250,key-13,1228
1775447672278,key-10,610
1775447672287,key-21,747
1775447672337,key-33,360
1775447672337,key-7,483
1775447672340,key-7,486
1775447672383,key-19,1180
1775447672386,key-14,233
1775447672387,key-3,1300
1775447672387,key-16,3173
1775447672387,key-7,533
1775447672392,key-7,538
1775447672392,key-3,1305
1775447672394,key-29,1322
1775447672394,key-7,540
1775447672395,key-19,1192
1775447672396,key-44,1433
1775447672435,key-14,282
1775447672437,key-13,1415
1775447672441,key-20,936
1775447672445,key-21,905
1775447672447,key-29,1375
1775447672449,key-17,245
1775447672456,key-21,916
1775447672498,key-35,662
1775447672500,key-21,960
1775447672501,key-17,297
1775447672523,key-33,546
1775447672538,key-45,305
1775447672543,key-2,936
1775447672554,key-3,1467
1775447672574,key-26,230
1775447672575,key-7,721
1775447672592,key-26,248
1775447672592,key-26,248
1775447672616,key-26,272
1775447672616,key-20,1111
1775447672622,key-3,1535
1775447672622,key-29,1550
1775447672627,key-13,1605
1775447672628,key-3,1541
1775447672628,key-21,1088
1775447672628,key-18,191
1775447672634,key-7,780
1775447672649,key-19,436
1775447672672,key-16,3458
1775447672703,key-5,1900
1775447672722,key-45,489
1775447672728,key-29,1656
1775447672741,key-2,1134
1775447672767,key-14,614
1775447672768,key-33,791
1775447672769,key-2,1162
1775447672782,key-18,345
1775447672789,key-18,352
1775447672792,key-47,3578
1775447672804,key-3,1717
1775447672806,key-45,573
1775447672806,key-39,210
1775447672824,key-39,228
1775447672826,key-26,482
1775447672830,key-40,1626
1775447672843,key-3,1756
1775447672851,key-21,1311
1775447672852,key-21,1312
1775447672855,key-3,1768
1775447672866,key-5,2063
1775447672879,key-3,1792
1775447672897,key-5,2094
1775447672902,key-25,339
1775447672938,key-33,961
1775447672948,key-29,1876
1775447672952,key-29,1880
1775447672960,key-18,523
1775447672964,key-21,1424
1775447672964,key-35,1128
1775447672979,key-14,826
1775447672981,key-13,1959
1775447672990,key-2,1383
1775447672994,key-5,2191
1775447673010,key-5,2207
1775447673012,key-21,1472
1775447673027,key-18,590
1775447673034,key-22,198
1775447673049,key-40,1845
1775447673062,key-22,226
1775447673078,key-3,1991
1775447673079,key-39,483
1775447673081,key-50,169
1775447673084,key-21,1544
1775447673113,key-3,2026
1775447673136,key-47,3922
1775447673137,key-5,2334
1775447673147,key-14,994
1775447673151,key-25,588
1775447673152,key-48,2943
1775447673155,key-45,922
1775447673160,key-29,2088
1775447673165,key-21,202
1775447673168,key-2,1561
1775447673206,key-29,2134
1775447673207,key-11,180
1775447673210,key-39,160
1775447673212,key-12,217
1775447673215,key-14,1062
1775447673219,key-22,383
1775447673230,key-21,267
1775447673241,key-11,214
1775447673244,key-37,1928
1775447673254,key-40,2050
1775447673260,key-48,3051
1775447673264,key-12,269
1775447673274,key-3,2187
1775447673281,key-22,445
1775447673286,key-21,323
1775447673287,key-3,2200
1775447673298,key-50,386
1775447673303,key-39,253
1775447673315,key-12,253
1775447673320,key-25,757
1775447673327,key-21,364
1775447673333,key-14,1180
1775447673343,key-11,316
1775447673364,key-21,401
1775447673365,key-26,284
1775447673365,key-33,1388
1775447673368,key-41,268
1775447673368,key-5,2565
1775447673369,key-21,406
1775447673369,key-3,2282
1775447673369,key-14,189
1775447673370,key-44,2407
1775447673373,key-16,4159
1775447673381,key-8,955
1775447673383,key-22,547
1775447673384,key-12,322
1775447673391,key-21,428
1775447673395,key-14,215
1775447673398,key-14,218
1775447673404,key-24,164
1775447673414,key-10,1746
1775447673419,key-11,392
1775447673420,key-47,4206
1775447673429,key-25,220
1775447673432,key-47,4218
1775447673447,key-41,347
1775447673447,key-48,3238
1775447673448,key-24,208
1775447673465,key-11,438
1775447673467,key-21,504
1775447673469,key-21,506
1775447673484,key-22,648
1775447673486,key-22,650
1775447673487,key-12,425
1775447673488,key-21,525
1775447673497,key-35,1661
1775447673509,key-3,2422
1775447673511,key-43,2465
1775447673524,key-12,462
1775447673530,key-3,2443
1775447673535,key-2,1928
1775447673539,key-14,359
1775447673542,key-41,442
1775447673546,key-21,583
1775447673552,key-44,2589
1775447673555,key-21,592
1775447673557,key-22,721
1775447673562,key-40,2358
1775447673563,key-31,2122
1775447673568,key-26,487
1775447673570,key-12,508
1775447673575,key-24,335
1775447673576,key-21,613
1775447673591,key-44,2628
1775447673591,key-48,3382
1775447673591,key-11,564
1775447673594,key-43,240
1775447673600,key-5,340
1775447673600,key-8,1174
1775447673602,key-25,393
1775447673605,key-47,4391
1775447673622,key-41,522
1775447673627,key-16,4413
1775447673628,key-10,1960
1775447673634,key-19,1421
1775447673635,key-35,1799
1775447673638,key-3,2551
1775447673641,key-10,1973
1775447673642,key-40,2438
1775447673654,key-43,300
1775447673655,key-26,574
1775447673669,key-22,833
1775447673670,key-47,4456
1775447673672,key-21,709
1775447673680,key-21,717
1775447673683,key-48,3474
1775447673706,key-21,743
1775447673714,key-22,878
1775447673725,key-3,2638
1775447673727,key-35,1891
1775447673732,key-21,769
1775447673733,key-21,770
1775447673746,key-3,2659
1775447673749,key-21,786
1775447673750,key-22,914
1775447673756,key-31,2315
1775447673763,key-43,409
1775447673768,key-41,164
1775447673768,key-22,932
1775447673781,key-43,427
1775447673783,key-41,179
1775447673802,key-47,4588
1775447673805,key-40,2601
1775447673807,key-44,2844
1775447673808,key-41,708
1775447673809,key-2,2202
1775447673814,key-5,554
1775447673816,key-19,1603
1775447673831,key-16,4617
1775447673832,key-3,2745
1775447673833,key-11,806
1775447673833,key-47,4619
1775447673833,key-10,2165
1775447673834,key-15,187
1775447673838,key-44,2875
1775447673838,key-43,484
1775447673847,key-12,185
1775447673849,key-48,3640
1775447673854,key-11,827
1775447673857,key-15,210
1775447673865,key-47,4651
1775447673881,key-48,3672
1775447673891,key-50,979
1775447673902,key-21,939
1775447673904,key-21,941
1775447673907,key-16,4693
1775447673909,key-33,1932
1775447673912,key-22,1076
1775447673916,key-19,1703
1775447673933,key-11,906
1775447673939,key-37,2623
1775447673940,key-48,3731
1775447673961,key-15,314
1775447673963,key-22,1127
1775447673969,key-21,1006
1775447673977,key-43,623
1775447673984,key-31,2543
1775447673988,key-3,2901
1775447673991,key-5,731
1775447673992,key-22,1156
1775447674007,key-15,360
1775447674013,key-48,194
1775447674013,key-19,1800
1775447674022,key-3,2935
1775447674027,key-3,2940
1775447674032,key-7,2178
1775447674037,key-12,189
1775447674038,key-15,391
1775447674039,key-15,392
1775447674041,key-5,781
1775447674042,key-24,802
1775447674045,key-23,197
1775447674061,key-48,242
1775447674068,key-48,249
1775447674078,key-22,1242
1775447674085,key-48,266
1775447674088,key-5,828
1775447674089,key-11,1062
1775447674096,key-29,790
1775447674097,key-16,4883
1775447674100,key-35,2264
1775447674104,key-33,2127
1775447674106,key-41,502
1775447674110,key-40,2906
1775447674121,key-27,200
1775447674125,key-21,1162
1775447674149,key-11,1122
1775447674152,key-5,158
1775447674167,key-16,191
1775447674168,key-3,3081
1775447674180,key-16,204
1775447674183,key-35,2347
1775447674193,key-15,546
1775447674196,key-5,202
1775447674197,key-5,203
1775447674202,key-3,3115
1775447674203,key-5,209
1775447674203,key-5,209
1775447674204,key-23,356
1775447674215,key-15,568
1775447674217,key-50,1305
1775447674225,key-5,231
1775447674228,key-29,922
1775447674230,key-48,411
1775447674252,key-11,1225
1775447674254,key-47,5040
1775447674256,key-48,437
1775447674256,key-25,180
1775447674258,key-48,439
1775447674270,key-35,2434
1775447674280,key-40,3076
1775447674281,key-2,2674
1775447674284,key-45,178
1775447674287,key-41,683
1775447674287,key-41,683
1775447674292,key-48,473
1775447674293,key-24,236
1775447674296,key-10,2628
1775447674299,key-37,224
1775447674304,key-45,198
1775447674306,key-22,1470
1775447674337,key-35,2501
1775447674347,key-48,528
1775447674347,key-21,1384
1775447674348,key-11,164
1775447674364,key-11,180
1775447674365,key-21,1402
1775447674366,key-45,260
1775447674368,key-27,447
