timestamp_utc,total_lag
2026-04-21T10:42:51Z,0
2026-04-21T10:43:04Z,0
2026-04-21T10:43:17Z,0
2026-04-21T10:43:30Z,0
2026-04-21T10:43:44Z,0
2026-04-21T10:43:56Z,0
2026-04-21T10:44:08Z,0
2026-04-21T10:44:20Z,0
2026-04-21T10:44:33Z,0
2026-04-21T10:44:45Z,0
2026-04-21T10:44:57Z,0
2026-04-21T10:45:09Z,0
2026-04-21T10:45:21Z,0
2026-04-21T10:45:33Z,0
2026-04-21T10:45:45Z,0
2026-04-21T10:45:56Z,0
2026-04-21T10:46:08Z,0
2026-04-21T10:46:21Z,0
2026-04-21T10:46:34Z,0
2026-04-21T10:46:46Z,0
2026-04-21T10:46:59Z,0
2026-04-21T10:47:11Z,0
2026-04-21T10:47:24Z,0
2026-04-21T10:47:37Z,0
2026-04-21T10:47:49Z,0
2026-04-21T10:48:03Z,0
2026-04-21T10:48:15Z,0
