timestamp_utc,total_lag
2026-04-21T10:42:51Z,0
2026-04-21T10:43:04Z,0
2026-04-21T10:43:17Z,0
2026-04-21T10:43:30Z,0
2026-04-21T10:43:44Z,0
2026-04-21T10:43:56Z,0
2026-04-21T10:44:09Z,0
2026-04-21T10:44:21Z,0
2026-04-21T10:44:34Z,0
2026-04-21T10:44:46Z,0
2026-04-21T10:44:58Z,0
2026-04-21T10:45:10Z,0
2026-04-21T10:45:22Z,0
2026-04-21T10:45:35Z,0
2026-04-21T10:45:46Z,0
2026-04-21T10:45:58Z,0
2026-04-21T10:46:09Z,0
2026-04-21T10:46:21Z,0
2026-04-21T10:46:34Z,0
2026-04-21T10:46:46Z,0
2026-04-21T10:46:59Z,0
2026-04-21T10:47:11Z,0
2026-04-21T10:47:24Z,0
2026-04-21T10:47:37Z,0
2026-04-21T10:47:49Z,0
2026-04-21T10:48:02Z,0
2026-04-21T10:48:15Z,0
