Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /notifications [MIXED],8275,0,2100.0,2120.9205367555305,58.37441400035459,5267.656219000855,103.0,27.534177207461607,0.0,2100,2300,2400,2500,2700,2800,2900,3100,3700,5300,5300
,Aggregated,8275,0,2100.0,2120.9205367555305,58.37441400035459,5267.656219000855,103.0,27.534177207461607,0.0,2100,2300,2400,2500,2700,2800,2900,3100,3700,5300,5300
