timestamp_utc,total_lag
2026-04-21T09:46:47Z,0
2026-04-21T09:46:55Z,0
2026-04-21T09:47:04Z,0
2026-04-21T09:47:12Z,0
2026-04-21T09:47:20Z,0
2026-04-21T09:47:27Z,0
2026-04-21T09:47:36Z,0
2026-04-21T09:47:44Z,0
2026-04-21T09:47:53Z,0
2026-04-21T09:48:00Z,0
2026-04-21T09:48:08Z,0
2026-04-21T09:48:16Z,0
2026-04-21T09:48:25Z,0
2026-04-21T09:48:33Z,0
2026-04-21T09:48:41Z,0
2026-04-21T09:48:49Z,0
2026-04-21T09:48:57Z,0
2026-04-21T09:49:06Z,0
2026-04-21T09:49:14Z,0
2026-04-21T09:49:22Z,0
2026-04-21T09:49:30Z,0
2026-04-21T09:49:38Z,0
2026-04-21T09:49:46Z,0
2026-04-21T09:49:54Z,0
2026-04-21T09:50:04Z,0
2026-04-21T09:50:12Z,0
2026-04-21T09:50:21Z,0
2026-04-21T09:50:30Z,0
2026-04-21T09:50:38Z,0
2026-04-21T09:50:47Z,0
2026-04-21T09:50:54Z,0
2026-04-21T09:51:05Z,0
2026-04-21T09:51:12Z,0
2026-04-21T09:51:20Z,0
