timestamp_utc,total_lag
2026-04-21T11:07:37Z,0
2026-04-21T11:07:46Z,0
2026-04-21T11:07:56Z,0
2026-04-21T11:08:06Z,0
2026-04-21T11:08:14Z,0
2026-04-21T11:08:23Z,0
2026-04-21T11:08:33Z,0
2026-04-21T11:08:41Z,0
2026-04-21T11:08:50Z,0
2026-04-21T11:08:59Z,0
2026-04-21T11:09:08Z,0
2026-04-21T11:09:17Z,0
2026-04-21T11:09:26Z,0
2026-04-21T11:09:35Z,0
2026-04-21T11:09:43Z,0
2026-04-21T11:09:52Z,0
2026-04-21T11:10:02Z,0
2026-04-21T11:10:11Z,0
2026-04-21T11:10:19Z,0
2026-04-21T11:10:32Z,0
2026-04-21T11:10:40Z,0
2026-04-21T11:10:49Z,0
2026-04-21T11:10:58Z,0
2026-04-21T11:11:07Z,0
2026-04-21T11:11:17Z,0
2026-04-21T11:11:26Z,0
2026-04-21T11:11:37Z,0
2026-04-21T11:11:47Z,0
2026-04-21T11:11:56Z,0
2026-04-21T11:12:05Z,0
2026-04-21T11:12:14Z,0
2026-04-21T11:12:23Z,0
2026-04-21T11:12:33Z,0
2026-04-21T11:12:42Z,0
2026-04-21T11:12:51Z,0
2026-04-21T11:13:00Z,0
2026-04-21T11:13:09Z,0
