timestamp_utc,total_lag
2026-04-21T11:07:37Z,0
2026-04-21T11:07:46Z,0
2026-04-21T11:07:56Z,0
2026-04-21T11:08:05Z,0
2026-04-21T11:08:14Z,0
2026-04-21T11:08:24Z,0
2026-04-21T11:08:33Z,0
2026-04-21T11:08:41Z,0
2026-04-21T11:08:50Z,0
2026-04-21T11:08:59Z,0
2026-04-21T11:09:07Z,0
2026-04-21T11:09:16Z,0
2026-04-21T11:09:25Z,0
2026-04-21T11:09:33Z,0
2026-04-21T11:09:45Z,0
2026-04-21T11:09:54Z,0
2026-04-21T11:10:03Z,0
2026-04-21T11:10:12Z,0
2026-04-21T11:10:22Z,0
2026-04-21T11:10:31Z,0
2026-04-21T11:10:40Z,0
2026-04-21T11:10:49Z,0
2026-04-21T11:10:58Z,0
2026-04-21T11:11:08Z,0
2026-04-21T11:11:17Z,0
2026-04-21T11:11:25Z,0
2026-04-21T11:11:35Z,0
2026-04-21T11:11:44Z,0
2026-04-21T11:11:52Z,0
2026-04-21T11:12:01Z,0
2026-04-21T11:12:09Z,0
2026-04-21T11:12:18Z,0
2026-04-21T11:12:27Z,0
2026-04-21T11:12:36Z,0
2026-04-21T11:12:46Z,0
2026-04-21T11:12:57Z,0
2026-04-21T11:13:06Z,0
