Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /notifications [EMAIL],55291,0,320.0,398.77705159423186,279.3718329630792,3943.598125129938,103.0,183.90146438941466,0.0,320,350,400,480,570,700,960,1200,2500,3600,3900
,Aggregated,55291,0,320.0,398.77705159423186,279.3718329630792,3943.598125129938,103.0,183.90146438941466,0.0,320,350,400,480,570,700,960,1200,2500,3600,3900
