timestamp_ms,key,delta_ms
1775447966650,key-32,249
1775447966885,key-33,368
1775447967231,key-21,339
1775447967280,key-45,122
1775447967318,key-32,292
1775447967810,key-37,76
1775447967893,key-44,173
1775447968115,key-24,142
1775447968205,key-44,485
1775447968255,key-13,520
1775447968286,key-42,551
1775447968480,key-50,125
1775447968798,key-46,147
1775447969141,key-3,380
1775447969406,key-20,388
1775447969458,key-5,148
1775447969560,key-48,172
1775447969695,key-30,307
1775447969804,key-48,127
1775447969836,key-16,204
1775447969857,key-25,123
1775447969953,key-29,220
1775447969958,key-42,225
1775447969988,key-4,115
1775447970133,key-32,174
1775447970220,key-2,102
1775447970386,key-32,427
1775447970496,key-39,147
1775447970521,key-13,230
1775447970689,key-44,298
1775447970715,key-21,121
1775447970815,key-39,150
1775447970819,key-8,292
1775447970850,key-48,193
1775447970862,key-29,120
1775447970881,key-3,139
1775447970915,key-4,173
1775447971016,key-29,274
1775447971116,key-32,201
1775447971233,key-12,183
1775447971422,key-20,295
1775447971539,key-43,144
1775447971610,key-46,107
1775447971626,key-10,153
1775447971645,key-12,473
1775447971647,key-19,197
1775447971725,key-45,1993
1775447971734,key-12,562
1775447971735,key-27,127
1775447971784,key-17,116
1775447971877,key-45,106
1775447971932,key-17,264
1775447971998,key-28,225
1775447972029,key-28,256
1775447972196,key-8,174
1775447972257,key-36,396
1775447972530,key-35,236
1775447972538,key-23,244
1775447972554,key-31,182
1775447972578,key-15,153
1775447972604,key-16,179
1775447972724,key-44,654
1775447972770,key-10,269
1775447972801,key-50,161
1775447972806,key-38,120
1775447973019,key-16,263
1775447973069,key-1,150
1775447973083,key-1,164
1775447973157,key-25,125
1775447973168,key-17,1292
1775447973390,key-38,155
1775447973429,key-40,95
1775447973447,key-17,68
1775447973519,key-45,544
1775447973519,key-36,182
1775447973561,key-42,168
1775447973584,key-4,183
1775447973584,key-30,205
1775447973676,key-30,89
1775447973741,key-49,160
1775447973758,key-8,1464
1775447973797,key-42,207
1775447973854,key-39,808
1775447973887,key-23,125
1775447973920,key-39,874
1775447974057,key-9,138
1775447974174,key-43,158
1775447974188,key-3,129
1775447974190,key-3,131
1775447974240,key-38,205
1775447974241,key-16,133
1775447974277,key-22,306
1775447974319,key-49,95
1775447974328,key-16,220
1775447974370,key-38,335
1775447974415,key-6,425
1775447974430,key-44,214
1775447974454,key-48,132
1775447974490,key-13,521
1775447974518,key-38,483
1775447974538,key-16,430
1775447974566,key-24,140
1775447974612,key-10,86
1775447974651,key-30,320
1775447974664,key-36,122
1775447974716,key-47,500
1775447974752,key-13,142
1775447974803,key-17,60
1775447974848,key-25,259
1775447974864,key-45,195
1775447974886,key-45,217
1775447974900,key-48,56
1775447974961,key-17,218
1775447974988,key-40,71
1775447974997,key-40,128
1775447975026,key-20,157
1775447975040,key-30,147
1775447975143,key-30,112
1775447975162,key-42,114
1775447975211,key-28,61
1775447975334,key-30,303
1775447975495,key-26,270
1775447975724,key-35,234
1775447975819,key-35,129
1775447975861,key-50,68
1775447975983,key-9,263
1775447976037,key-35,265
1775447976067,key-41,132
1775447976113,key-16,150
1775447976301,key-18,126
1775447976326,key-43,93
1775447976405,key-20,122
1775447976462,key-6,145
1775447976467,key-24,201
1775447976495,key-17,146
1775447976584,key-39,693
1775447976585,key-40,215
1775447976670,key-15,282
1775447976752,key-13,446
1775447976804,key-20,171
1775447976877,key-2,102
1775447976949,key-3,205
1775447976958,key-17,119
1775447976997,key-37,116
1775447977071,key-43,59
1775447977275,key-12,198
1775447977280,key-48,180
1775447977319,key-50,101
1775447977364,key-7,234
1775447977410,key-31,93
1775447977490,key-43,86
1775447977531,key-29,796
1775447977558,key-31,134
1775447977677,key-14,933
1775447977753,key-2,135
1775447977845,key-2,227
1775447977848,key-10,137
1775447977978,key-48,238
1775447978020,key-2,402
1775447978219,key-49,215
1775447978240,key-23,207
1775447978259,key-12,188
1775447978309,key-12,74
1775447978359,key-27,118
1775447978361,key-12,126
1775447978390,key-13,126
1775447978417,key-1,174
1775447978477,key-45,435
1775447978600,key-7,255
1775447978605,key-29,79
1775447978653,key-19,126
1775447978657,key-38,118
1775447978665,key-34,109
1775447979018,key-40,155
1775447979027,key-2,139
1775447979098,key-13,574
1775447979138,key-28,447
1775447979145,key-43,142
1775447979378,key-43,375
1775447979432,key-38,105
1775447979483,key-34,211
1775447979531,key-31,427
