timestamp_ms,key,delta_ms
1775447446764,key-20,147
1775447446791,key-39,111
1775447447375,key-20,758
1775447447378,key-7,659
1775447447379,key-2,761
1775447447414,key-20,797
1775447447415,key-21,707
1775447447416,key-20,799
1775447447431,key-39,751
1775447447448,key-2,830
1775447447497,key-21,789
1775447447658,key-21,950
1775447447669,key-23,54
1775447447709,key-39,87
1775447447721,key-23,106
1775447447725,key-2,1107
1775447447747,key-39,125
1775447447754,key-38,132
1775447447757,key-23,142
1775447447764,key-39,142
1775447447790,key-23,175
1775447447799,key-23,184
1775447447800,key-47,178
1775447447861,key-38,239
1775447447893,key-45,143
1775447447937,key-39,315
1775447447978,key-16,120
1775447448053,key-23,438
1775447448114,key-15,180
1775447448156,key-23,541
1775447448189,key-30,176
1775447448228,key-23,613
1775447448382,key-16,524
1775447448382,key-21,295
1775447448383,key-27,505
1775447448414,key-23,799
1775447448445,key-23,830
1775447448628,key-39,29
1775447448629,key-30,616
1775447448631,key-15,697
1775447448634,key-39,35
1775447448637,key-30,624
1775447448665,key-30,652
1775447448669,key-30,656
1775447448689,key-15,755
1775447448711,key-23,1096
1775447448738,key-44,40
1775447448739,key-30,726
1775447448741,key-3,53
1775447448786,key-30,773
1775447448816,key-30,803
1775447448821,key-30,808
1775447448868,key-30,855
1775447448893,key-23,1278
1775447448930,key-15,996
1775447448943,key-30,930
1775447448978,key-30,965
1775447449092,key-30,1079
1775447449117,key-30,1104
1775447449119,key-15,1185
1775447449148,key-12,281
1775447449162,key-11,94
1775447449164,key-31,25
1775447449167,key-4,100
1775447449192,key-15,1258
1775447449192,key-30,1179
1775447449199,key-16,1341
1775447449216,key-4,149
1775447449243,key-31,104
1775447449265,key-16,1407
1775447449299,key-31,160
1775447449383,key-4,316
1775447449385,key-14,391
1775447449414,key-47,247
1775447449641,key-35,40
1775447449658,key-32,55
1775447449667,key-29,28
1775447449678,key-25,27
1775447449916,key-16,280
1775447449917,key-25,266
1775447449950,key-35,349
1775447449981,key-29,342
1775447449981,key-29,342
1775447449984,key-14,990
1775447450015,key-7,140
1775447450016,key-11,948
1775447450037,key-25,386
1775447450056,key-16,420
1775447450095,key-20,138
1775447450128,key-25,477
1775447450133,key-14,1139
1775447450144,key-20,187
1775447450175,key-29,536
1775447450182,key-40,579
1775447450246,key-31,1107
1775447450276,key-40,673
1775447450314,key-40,711
1775447450389,key-16,753
1775447450389,key-40,786
1775447450390,key-36,444
1775447450390,key-30,258
1775447450391,key-31,1252
1775447450391,key-27,2513
1775447450392,key-20,435
1775447450392,key-25,741
1775447450393,key-5,244
1775447450406,key-16,770
1775447450414,key-30,282
1775447450426,key-40,823
1775447450427,key-16,791
1775447450432,key-30,300
1775447450446,key-25,795
1775447450448,key-40,845
1775447450486,key-40,883
1775447450561,key-8,127
1775447450581,key-28,55
1775447450630,key-30,67
1775447450635,key-46,24
1775447450649,key-27,39
1775447450674,key-35,1073
1775447450674,key-27,64
1775447450694,key-28,168
1775447450821,key-38,188
1775447450912,key-11,1844
1775447450938,key-3,44
1775447450949,key-40,75
1775447451011,key-1,66
1775447451185,key-1,240
1775447451270,key-31,40
1775447451278,key-24,358
1775447451309,key-3,415
1775447451311,key-10,392
1775447451344,key-1,399
1775447451367,key-28,36
1775447451374,key-31,144
1775447451399,key-40,525
1775447451399,key-41,141
1775447451400,key-10,481
1775447451400,key-24,114
1775447451401,key-36,1455
1775447451410,key-41,152
1775447451410,key-10,491
1775447451429,key-1,484
1775447451460,key-24,174
1775447451470,key-24,184
1775447451476,key-1,53
1775447451491,key-40,617
1775447451552,key-9,1000
1775447451634,key-44,2936
1775447451653,key-47,390
1775447451655,key-40,149
1775447451658,key-44,2960
1775447451684,key-32,73
1775447451687,key-29,2048
1775447451710,key-44,3012
1775447451711,key-32,100
1775447451725,key-47,462
1775447451730,key-33,24
1775447451731,key-29,2092
1775447451733,key-40,227
1775447451744,key-34,33
1775447451746,key-8,1312
1775447451747,key-40,241
1775447451764,key-17,71
1775447451772,key-34,61
1775447451773,key-40,267
1775447451774,key-32,163
1775447451775,key-34,64
1775447451794,key-47,47
1775447451803,key-40,297
1775447451808,key-9,131
1775447451813,key-33,107
1775447451818,key-9,141
1775447451828,key-9,151
1775447451836,key-9,159
1775447451838,key-39,1213
1775447451846,key-22,1820
1775447451861,key-30,1298
1775447451867,key-23,12
1775447451880,key-14,34
1775447451881,key-40,375
1775447451886,key-22,1860
1775447451907,key-26,72
1775447451907,key-26,72
1775447451911,key-23,36
1775447451917,key-30,1354
1775447451933,key-26,98
1775447451933,key-31,703
1775447451933,key-34,81
1775447451953,key-34,101
1775447451955,key-5,9
1775447451990,key-12,111
1775447451991,key-16,1098
1775447452000,key-20,1348
1775447452028,key-41,770
1775447452187,key-31,957
1775447452192,key-7,2317
1775447452208,key-34,356
1775447452227,key-34,375
1775447452251,key-34,399
1775447452253,key-43,71
1775447452291,key-6,708
1775447452396,key-29,2757
1775447452398,key-36,749
1775447452399,key-7,2524
1775447452399,key-31,185
1775447452420,key-29,2781
1775447452421,key-34,569
1775447452446,key-36,797
1775447452447,key-34,595
1775447452483,key-34,631
1775447452576,key-36,927
1775447452577,key-43,395
1775447452587,key-34,735
1775447452615,key-11,63
1775447452624,key-31,105
1775447452643,key-34,791
1775447452643,key-34,791
1775447452650,key-31,131
1775447452660,key-9,39
1775447452666,key-8,44
1775447452674,key-12,53
1775447452677,key-2,1291
1775447452684,key-8,62
1775447452688,key-37,49
1775447452697,key-37,58
1775447452698,key-29,56
1775447452713,key-12,92
1775447452722,key-2,1336
1775447452725,key-31,2
1775447452738,key-34,886
1775447452742,key-19,1878
1775447452743,key-32,66
1775447452743,key-32,66
1775447452779,key-12,25
1775447452784,key-10,838
1775447452816,key-3,1111
1775447452859,key-10,913
1775447452993,key-15,68
1775447452994,key-9,190
1775447453031,key-28,24
1775447453036,key-45,53
1775447453040,key-50,48
1775447453064,key-37,163
1775447453080,key-15,155
1775447453081,key-2,11
1775447453105,key-28,98
1775447453107,key-37,206
1775447453123,key-15,198
1775447453124,key-21,35
1775447453125,key-1,42
1775447453127,key-29,20
1775447453150,key-37,249
1775447453157,key-26,30
1775447453158,key-1,75
1775447453177,key-29,70
1775447453179,key-7,16
1775447453180,key-37,279
1775447453209,key-7,46
1775447453222,key-23,22
1775447453225,key-22,3199
1775447453231,key-31,69
1775447453236,key-1,153
1775447453256,key-12,502
1775447453259,key-49,96
1775447453265,key-49,102
1775447453289,key-30,1171
1775447453309,key-39,2684
1775447453330,key-29,130
1775447453347,key-39,2722
1775447453359,key-39,2734
1775447453394,key-23,194
1775447453395,key-13,15
1775447453396,key-12,642
1775447453413,key-49,250
1775447453428,key-34,74
1775447453433,key-3,148
1775447453443,key-30,40
1775447453463,key-39,2838
1775447453464,key-31,302
1775447453486,key-34,132
1775447453503,key-34,149
1775447453503,key-20,420
1775447453513,key-14,1667
1775447453531,key-24,60
1775447453548,key-32,48
1775447453584,key-15,659
1775447453587,key-24,116
1775447453627,key-32,127
1775447453653,key-14,38
1775447453654,key-10,418
1775447453674,key-32,174
1775447453694,key-21,59
1775447453726,key-41,1104
1775447453757,key-37,856
1775447453769,key-32,269
1775447453778,key-24,307
1775447453803,key-32,303
1775447453836,key-21,201
1775447453888,key-1,805
1775447453888,key-21,253
1775447453917,key-20,55
1775447453921,key-46,25
1775447453923,key-17,27
1775447453940,key-21,305
1775447453943,key-24,48
1775447453944,key-1,861
1775447453945,key-9,7
1775447453964,key-1,881
1775447453969,key-1,886
1775447453996,key-36,2347
1775447453997,key-9,59
1775447454026,key-32,14
1775447454027,key-18,49
1775447454035,key-1,952
1775447454056,key-1,973
1775447454074,key-1,991
1775447454112,key-42,116
1775447454135,key-32,108
1775447454137,key-42,141
1775447454167,key-1,1084
1775447454189,key-32,162
1775447454208,key-20,346
1775447454212,key-40,12
1775447454247,key-40,47
1775447454248,key-1,1165
1775447454249,key-42,105
1775447454251,key-38,24
1775447454277,key-12,43
1775447454278,key-28,81
1775447454280,key-25,50
1775447454303,key-5,262
1775447454347,key-40,147
1775447454383,key-6,2800
1775447454401,key-29,56
1775447454401,key-41,99
1775447454402,key-9,464
1775447454402,key-38,175
1775447454402,key-16,1848
1775447454402,key-29,57
1775447454403,key-50,35
1775447454408,key-5,367
1775447454416,key-21,781
1775447454425,key-10,1189
1775447454428,key-38,201
1775447454443,key-9,2
1775447454444,key-1,20
1775447454445,key-26,829
1775447454447,key-10,24
1775447454470,key-5,29
1775447454471,key-10,48
1775447454472,key-29,127
1775447454500,key-14,19
1775447454518,key-29,11
1775447454519,key-5,78
1775447454523,key-9,82
1775447454546,key-37,683
1775447454553,key-5,112
1775447454566,key-9,125
1775447454567,key-27,3191
1775447454595,key-8,600
1775447454623,key-28,426
1775447454639,key-18,661
1775447454644,key-2,31
1775447454647,key-18,669
1775447454657,key-5,216
1775447454682,key-8,34
1775447454684,key-36,71
1775447454715,key-35,102
1775447454719,key-36,106
1775447454723,key-8,75
1775447454734,key-35,9
1775447454776,key-17,175
1775447454777,key-35,52
1775447454780,key-18,802
1775447454783,key-6,100
1775447454783,key-17,182
1775447454800,key-30,46
1775447454802,key-21,1167
1775447454818,key-26,33
1775447454823,key-47,90
1775447454845,key-21,1210
1775447454853,key-37,241
1775447454882,key-38,129
1775447454897,key-26,112
1775447454904,key-21,1269
1775447454904,key-50,536
1775447454922,key-26,137
1775447454948,key-5,81
1775447454972,key-2,36
1775447454974,key-8,326
1775447454981,key-41,85
1775447455061,key-12,13
1775447455078,key-17,60
1775447455124,key-43,655
1775447455147,key-12,99
1775447455163,key-43,12
1775447455165,key-47,432
1775447455176,key-18,31
1775447455186,key-41,290
1775447455187,key-33,65
1775447455214,key-33,92
1775447455221,key-12,173
1775447455224,key-33,102
1775447455227,key-2,105
1775447455247,key-2,125
1775447455252,key-47,519
1775447455259,key-10,836
1775447455299,key-18,44
1775447455409,key-33,287
1775447455426,key-4,841
1775447455428,key-47,695
1775447455481,key-18,226
1775447455518,key-41,232
1775447455533,key-31,269
1775447455537,key-19,20
1775447455548,key-9,189
1775447455569,key-18,25
1775447455570,key-47,75
1775447455574,key-40,14
1775447455586,key-50,1218
1775447455592,key-35,867
1775447455607,key-29,108
1775447455628,key-41,68
1775447455630,key-33,95
1775447455633,key-41,73
1775447455654,key-5,26
1775447455658,key-34,2304
1775447455663,key-37,44
1775447455668,key-5,7
1775447455673,key-21,31
1775447455674,key-5,13
1775447455677,key-27,15
1775447455680,key-16,52
1775447455687,key-33,152
1775447455688,key-35,963
1775447455690,key-8,655
1775447455692,key-36,523
1775447455700,key-34,7
1775447455700,key-43,72
1775447455711,key-44,49
1775447455722,key-12,70
1775447455723,key-48,8
1775447455730,key-12,78
1775447455740,key-12,88
1775447455745,key-24,623
1775447455752,key-8,717
1775447455769,key-34,76
1775447455772,key-36,17
1775447455787,key-43,159
1775447455791,key-12,139
1775447455812,key-34,119
1775447455833,key-12,181
1775447455834,key-50,15
1775447455851,key-36,96
1775447455852,key-39,452
1775447455855,key-28,1658
1775447455868,key-32,131
1775447455890,key-5,65
1775447455895,key-47,400
1775447455902,key-34,209
1775447455917,key-39,517
1775447455917,key-23,86
1775447455932,key-44,65
1775447455935,key-14,46
1775447455940,key-39,540
1775447455954,key-3,317
1775447455976,key-26,1191
1775447456018,key-30,43
1775447456020,key-26,1235
1775447456140,key-29,34
1775447456163,key-25,132
1775447456167,key-29,61
1775447456170,key-45,31
1775447456273,key-25,50
1775447456352,key-9,31
1775447456371,key-45,232
1775447456393,key-28,82
1775447456407,key-28,96
1775447456414,key-13,42
1775447456435,key-28,124
1775447456479,key-6,49
1775447456516,key-28,205
1775447456518,key-13,146
1775447456518,key-48,55
1775447456548,key-34,33
1775447456551,key-34,36
1775447456565,key-28,254
1775447456574,key-16,60
1775447456581,key-13,65
1775447456594,key-44,96
1775447456599,key-43,553
1775447456601,key-16,87
1775447456630,key-37,101
1775447456631,key-34,116
1775447456649,key-37,120
1775447456650,key-9,329
1775447456683,key-13,167
1775447456684,key-48,221
1775447456686,key-34,171
1775447456699,key-46,281
1775447456722,key-49,1094
1775447456725,key-46,8
1775447456745,key-34,230
1775447456748,key-27,52
1775447456752,key-13,236
1775447456793,key-13,277
1775447456806,key-13,290
1775447456828,key-8,842
1775447456904,key-38,46
1775447456927,key-10,2504
1775447456930,key-38,6
1775447456936,key-37,18
1775447456952,key-50,50
1775447456953,key-38,29
1775447456963,key-50,61
1775447456969,key-19,1012
1775447456970,key-38,12
1775447456980,key-38,22
1775447457004,key-11,67
1775447457005,key-30,221
1775447457006,key-6,251
1775447457009,key-39,356
1775447457054,key-11,117
1775447457056,key-42,2912
1775447457072,key-43,99
1775447457075,key-31,72
1775447457081,key-8,64
1775447457083,key-8,66
1775447457090,key-42,2946
1775447457106,key-1,73
1775447457120,key-12,162
1775447457126,key-14,60
1775447457127,key-1,94
1775447457128,key-8,49
1775447457128,key-8,49
1775447457129,key-14,63
1775447457148,key-8,69
1775447457152,key-7,598
1775447457158,key-6,39
1775447457169,key-8,90
1775447457173,key-1,140
1775447457175,key-6,56
1775447457182,key-8,103
1775447457186,key-8,107
1775447457192,key-8,113
1775447457195,key-28,884
1775447457196,key-16,62
1775447457203,key-12,245
1775447457209,key-34,75
1775447457223,key-44,356
1775447457224,key-49,365
1775447457240,key-13,32
1775447457242,key-6,123
1775447457242,key-27,81
1775447457263,key-13,55
1775447457264,key-10,12
1775447457302,key-13,94
1775447457305,key-33,16
1775447457339,key-13,131
1775447457342,key-13,134
1775447457369,key-30,109
1775447457413,key-24,528
1775447457435,key-15,672
1775447457437,key-41,279
1775447457453,key-23,1065
1775447457460,key-43,71
1775447457479,key-23,1091
1775447457482,key-2,1845
1775447457483,key-26,54
1775447457487,key-17,98
1775447457529,key-38,571
1775447457531,key-5,1706
1775447457535,key-17,146
1775447457560,key-26,131
1775447457573,key-17,184
1775447457617,key-8,175
1775447457641,key-46,717
1775447457655,key-11,718
1775447457672,key-6,183
1775447457685,key-35,117
1775447457722,key-26,55
1775447457773,key-6,93
1775447457794,key-1,607
1775447457794,key-38,65
1775447457807,key-43,35
1775447457815,key-46,43
1775447457828,key-9,1507
1775447457829,key-4,1300
1775447457846,key-19,4
1775447457877,key-38,148
1775447457878,key-26,211
1775447457881,key-26,214
1775447457882,key-46,110
1775447457909,key-26,242
1775447457920,key-28,6
1775447457925,key-44,18
1775447457931,key-37,571
1775447457951,key-19,109
1775447457959,key-26,292
1775447457970,key-27,142
1775447457974,key-26,307
1775447457987,key-7,14
1775447458013,key-41,12
1775447458029,key-40,501
1775447458030,key-4,44
1775447458031,key-35,463
1775447458032,key-25,30
1775447458033,key-44,126
1775447458045,key-9,1724
1775447458056,key-35,488
1775447458073,key-26,406
1775447458079,key-44,172
1775447458101,key-26,434
1775447458119,key-35,551
1775447458119,key-15,19
1775447458122,key-31,87
1775447458123,key-4,137
1775447458134,key-31,99
1775447458140,key-31,105
1775447458149,key-29,2043
1775447458157,key-15,57
1775447458158,key-10,81
1775447458170,key-17,89
1775447458175,key-40,66
1775447458178,key-46,7
1775447458187,key-31,152
1775447458188,key-42,14
1775447458190,key-46,19
1775447458203,key-19,361
1775447458209,key-9,1888
1775447458219,key-11,391
1775447458221,key-44,26
1775447458230,key-13,11
1775447458242,key-16,623
1775447458242,key-9,1921
1775447458254,key-20,25
1775447458256,key-13,37
1775447458259,key-16,640
1775447458260,key-8,23
1775447458288,key-13,69
1775447458294,key-37,14
1775447458307,key-2,2670
1775447458326,key-2,2689
1775447458330,key-42,156
1775447458368,key-10,15
1775447458370,key-30,28
1775447458374,key-10,21
1775447458406,key-42,232
1775447458418,key-11,38
1775447458419,key-10,66
1775447458422,key-30,80
1775447458428,key-33,20
1775447458436,key-5,15
1775447458442,key-33,34
1775447458446,key-5,25
1775447458448,key-11,68
1775447458454,key-28,74
1775447458465,key-27,43
1775447458467,key-34,1333
1775447458485,key-11,105
1775447458486,key-23,79
1775447458491,key-43,70
1775447458493,key-37,213
1775447458502,key-37,222
1775447458515,key-35,32
1775447458520,key-28,18
1775447458523,key-3,401
1775447458531,key-12,558
1775447458541,key-31,53
1775447458544,key-27,122
1775447458548,key-48,10
1775447458558,key-48,20
1775447458562,key-4,576
1775447458584,key-16,965
1775447458594,key-35,111
1775447458596,key-31,108
1775447458612,key-16,993
1775447458625,key-12,15
1775447458637,key-35,154
1775447458640,key-18,1009
1775447458643,key-35,160
1775447458645,key-31,157
1775447458647,key-16,1028
1775447458650,key-16,1031
1775447458661,key-16,1042
1775447458663,key-3,80
1775447458664,key-45,1688
1775447458672,key-35,189
1775447458688,key-12,78
1775447458690,key-45,1714
1775447458695,key-20,85
1775447458701,key-16,1082
1775447458707,key-16,1088
1775447458707,key-16,1088
1775447458730,key-35,247
1775447458730,key-45,1754
1775447458757,key-16,1138
1775447458763,key-16,1144
1775447458775,key-21,46
1775447458781,key-12,171
1775447458813,key-13,594
1775447458819,key-16,1200
1775447458852,key-21,40
1775447458853,key-37,124
1775447458866,key-38,84
1775447458869,key-40,760
1775447458912,key-21,100
1775447458918,key-44,106
1775447458952,key-45,1976
1775447458953,key-29,43
1775447458954,key-13,735
1775447458987,key-29,77
1775447458988,key-40,879
1775447458988,key-45,2012
1775447459020,key-30,69
1775447459024,key-39,94
1775447459035,key-46,145
1775447459040,key-39,110
1775447459040,key-26,9
1775447459049,key-31,561
1775447459078,key-39,11
1775447459079,key-5,111
1775447459105,key-5,137
1775447459128,key-30,177
1775447459145,key-43,598
1775447459150,key-45,2174
1775447459167,key-39,100
1775447459184,key-48,646
1775447459200,key-33,792
1775447459210,key-45,2234
1775447459234,key-23,687
1775447459238,key-45,2262
1775447459277,key-13,30
1775447459283,key-33,8
1775447459325,key-46,67
1775447459328,key-33,53
1775447459334,key-46,76
1775447459342,key-46,84
1775447459345,key-46,87
1775447459365,key-16,76
1775447459366,key-45,2390
1775447459394,key-33,119
1775447459404,key-24,761
1775447459404,key-34,85
1775447459429,key-17,616
1775447459439,key-33,164
1775447459439,key-17,626
1775447459444,key-31,17
1775447459450,key-31,23
1775447459464,key-2,450
1775447459464,key-43,38
1775447459481,key-11,1101
1775447459482,key-31,55
1775447459499,key-11,1119
1775447459508,key-46,71
1775447459521,key-34,202
1775447459529,key-31,102
1775447459529,key-16,52
1775447459542,key-31,115
1775447459545,key-44,559
1775447459551,key-19,56
1775447459567,key-34,248
1775447459579,key-46,142
1775447459580,key-19,85
1775447459590,key-43,84
1775447459605,key-19,110
1775447459606,key-48,1068
1775447459607,key-20,20
1775447459619,key-46,182
1775447459621,key-39,41
1775447459628,key-19,133
1775447459635,key-19,140
1775447459662,key-33,25
1775447459663,key-46,226
1775447459683,key-23,63
1775447459700,key-48,1162
1775447459723,key-46,286
1775447459740,key-43,41
1775447459741,key-44,12
1775447459757,key-44,28
1775447459760,key-47,30
1775447459771,key-16,17
1775447459783,key-7,320
1775447459787,key-37,33
1775447459805,key-4,634
1775447459820,key-15,1720
1775447459897,key-7,434
1775447459985,key-7,14
1775447460013,key-36,227
1775447460032,key-30,28
1775447460032,key-27,61
1775447460051,key-2,19
1775447460057,key-28,176
1775447460060,key-8,18
1775447460072,key-23,452
1775447460085,key-36,299
1775447460099,key-7,128
1775447460147,key-47,339
1775447460150,key-23,530
1775447460177,key-30,173
1775447460196,key-47,388
1775447460224,key-2,192
1775447460241,key-48,30
1775447460247,key-5,570
1775447460298,key-2,42
1775447460302,key-7,171
1775447460307,key-24,72
1775447460329,key-6,389
1775447460347,key-6,407
1775447460349,key-7,218
1775447460350,key-21,179
1775447460351,key-32,43
1775447460363,key-2,107
1775447460364,key-6,424
1775447460381,key-7,250
1775447460382,key-32,74
1775447460428,key-36,642
1775447460431,key-14,12
1775447460461,key-36,675
1775447460563,key-6,80
1775447460569,key-19,85
1775447460606,key-34,349
1775447460617,key-36,831
1775447460636,key-23,92
1775447460654,key-45,1254
1775447460662,key-6,179
1775447460664,key-12,898
1775447460665,key-23,121
1775447460700,key-23,156
1775447460700,key-35,657
1775447460701,key-18,25
1775447460723,key-31,3
1775447460734,key-35,691
1775447460739,key-19,53
1775447460740,key-23,196
1775447460756,key-31,36
1775447460758,key-7,12
1775447460768,key-47,80
1775447460783,key-35,740
1775447460795,key-41,28
1775447460819,key-16,284
1775447460823,key-7,77
1775447460825,key-46,467
1775447460831,key-46,473
1775447460856,key-37,18
1775447460863,key-43,18
1775447460881,key-30,69
1775447460889,key-30,77
1775447460909,key-36,37
1775447460914,key-16,379
1775447460915,key-43,70
1775447460934,key-43,89
1775447460945,key-33,891
1775447460984,key-30,172
1775447460989,key-13,101
1775447460998,key-33,944
1775447461003,key-33,949
1775447461018,key-28,1137
1775447461025,key-30,213
1775447461026,key-34,8
1775447461027,key-31,3
1775447461039,key-31,15
1775447461055,key-29,51
1775447461055,key-29,51
1775447461060,key-7,314
1775447461077,key-31,22
1775447461078,key-2,494
