Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /kv/{key},3075,0,3,4.001557224134847,0.6954579148441553,116.54145806096494,84.81073170731707,74.86730273754364,0.0,3,4,4,5,7,9,14,23,83,120,120
PUT,PUT /kv/{key},2789,0,1206.7842499818653,1220.5809230827545,1206.7842499818653,1315.3392910026014,84.82681964861958,67.90403490569405,0.0,1200,1200,1200,1200,1200,1200,1300,1300,1300,1300,1300
,Aggregated,5864,0,9,582.6236328345867,0.6954579148441553,1315.3392910026014,84.81838335607094,142.7713376432377,0.0,9,1200,1200,1200,1200,1200,1300,1300,1300,1300,1300
