Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /kv/{key},6993,0,160.0,170.7494702115181,151.69900003820658,359.1375001706183,84.80823680823681,332.6874798505611,0.0,160,160,180,200,210,220,260,280,330,360,360
PUT,PUT /kv/{key},7011,0,1,2.6256646825147563,0.5373749881982803,123.31654108129442,84.81771501925546,333.5438182800349,0.0,1,2,2,2,3,6,19,32,110,120,120
,Aggregated,14004,0,110.0,86.57951872881011,0.5373749881982803,359.1375001706183,84.8129820051414,666.231298130596,0.0,110,150,160,160,200,210,230,260,310,350,360
