timestamp_ms,key,delta_ms
1775447373168,key-36,21
1775447373195,key-36,48
1775447373215,key-35,37
1775447373217,key-35,39
1775447373261,key-35,83
1775447373287,key-35,109
1775447373308,key-35,130
1775447373316,key-35,138
1775447373400,key-35,222
1775447373574,key-2,23
1775447373613,key-36,466
1775447373700,key-35,522
1775447373711,key-35,533
1775447373733,key-47,9
1775447373737,key-47,13
1775447373748,key-47,24
1775447373751,key-47,27
1775447373752,key-47,28
1775447373772,key-47,48
1775447373773,key-47,49
1775447373774,key-47,50
1775447373777,key-47,53
1775447373777,key-47,53
1775447373794,key-47,70
1775447373794,key-47,70
1775447373803,key-47,79
1775447373805,key-47,81
1775447373807,key-47,83
1775447373808,key-47,84
1775447373856,key-47,132
1775447373856,key-47,132
1775447373857,key-47,133
1775447373862,key-43,49
1775447373862,key-47,138
1775447373863,key-28,46
1775447373864,key-28,47
1775447373867,key-28,50
1775447373879,key-28,62
1775447373883,key-28,66
1775447373888,key-28,71
1775447373895,key-28,78
1775447373900,key-28,83
1775447373900,key-28,83
1775447373911,key-47,187
1775447373912,key-28,95
1775447373914,key-35,736
1775447373932,key-35,754
1775447373950,key-35,772
1775447373980,key-2,429
1775447374000,key-36,853
1775447374029,key-35,851
1775447374068,key-35,890
1775447374146,key-35,968
1775447374163,key-35,985
1775447374172,key-35,994
1775447374178,key-36,1031
1775447374185,key-36,1038
1775447374190,key-35,1012
1775447374200,key-36,1053
1775447374204,key-36,1057
1775447374210,key-36,1063
1775447374213,key-36,1066
1775447374217,key-36,1070
1775447374221,key-36,1074
1775447374229,key-35,1051
1775447374242,key-2,691
1775447374245,key-35,1067
1775447374245,key-36,1098
1775447374246,key-36,1099
1775447374248,key-2,697
1775447374249,key-43,436
1775447374251,key-35,1073
1775447374262,key-2,711
1775447374269,key-2,718
1775447374272,key-35,1094
1775447374277,key-2,726
1775447374283,key-43,470
1775447374302,key-2,751
1775447374303,key-2,752
1775447374303,key-43,490
1775447374304,key-2,753
1775447374312,key-2,761
1775447374314,key-2,763
1775447374319,key-43,506
1775447374331,key-2,780
1775447374353,key-44,28
1775447374354,key-44,29
1775447374408,key-44,83
1775447374409,key-36,1262
1775447374410,key-44,85
1775447374412,key-44,87
1775447374469,key-2,918
1775447374470,key-35,1292
1775447374489,key-47,765
1775447374514,key-44,189
1775447374548,key-28,731
1775447374622,key-36,1475
1775447374628,key-14,33
1775447374643,key-36,1496
1775447374647,key-36,1500
1775447374678,key-36,1531
1775447374693,key-28,876
1775447374696,key-36,1549
1775447374712,key-36,1565
1775447374716,key-36,1569
1775447374814,key-28,997
1775447374818,key-28,1001
1775447374859,key-15,737
1775447374874,key-28,1057
1775447374880,key-2,1329
1775447374880,key-28,1063
1775447374893,key-28,1076
1775447374894,key-28,1077
1775447374895,key-15,773
1775447374899,key-2,1348
1775447374899,key-43,1086
1775447374904,key-28,1087
1775447374906,key-2,1355
1775447374906,key-35,1728
1775447374909,key-28,1092
1775447374910,key-14,315
1775447374913,key-2,1362
1775447374916,key-28,1099
1775447374918,key-28,1101
1775447374918,key-28,1101
1775447374920,key-35,1742
1775447374931,key-2,1380
1775447374932,key-28,1115
1775447374937,key-28,1120
1775447374937,key-2,1386
1775447374943,key-28,1126
1775447374945,key-28,1128
1775447374949,key-36,1802
1775447374959,key-2,1408
1775447374961,key-28,1144
1775447374965,key-36,1818
1775447374968,key-36,1821
1775447374980,key-14,385
1775447374984,key-36,1837
1775447374986,key-36,1839
1775447374990,key-14,395
1775447374995,key-36,1848
1775447374998,key-36,1851
1775447375002,key-43,1189
1775447375007,key-14,412
1775447375008,key-36,1861
1775447375011,key-14,416
1775447375014,key-14,419
1775447375015,key-36,1868
1775447375016,key-36,1869
1775447375020,key-36,1873
1775447375027,key-36,1880
1775447375027,key-14,432
1775447375030,key-36,1883
1775447375031,key-36,1884
1775447375038,key-36,1891
1775447375041,key-36,1894
1775447375053,key-15,931
1775447375065,key-36,1918
1775447375073,key-15,951
1775447375084,key-36,1937
1775447375085,key-45,8
1775447375086,key-15,964
1775447375088,key-36,1941
1775447375090,key-45,13
1775447375091,key-45,14
1775447375093,key-36,1946
1775447375094,key-36,1947
1775447375095,key-36,1948
1775447375095,key-36,1948
1775447375095,key-45,18
1775447375098,key-36,1951
1775447375099,key-28,1282
1775447375111,key-36,1964
1775447375119,key-36,1972
1775447375127,key-2,1576
