timestamp_ms,key,delta_ms
1775448152350,key-17,92
1775448152377,key-2,157
1775448152388,key-46,84
1775448152393,key-32,107
1775448152405,key-2,185
1775448152966,key-32,680
1775448152967,key-3,723
1775448152968,key-4,746
1775448152968,key-17,710
1775448153004,key-32,718
1775448153025,key-3,781
1775448153222,key-4,1000
1775448153224,key-2,1004
1775448153243,key-28,40
1775448153262,key-17,41
1775448153264,key-3,1020
1775448153285,key-44,91
1775448153315,key-48,47
1775448153354,key-3,1110
1775448153525,key-24,37
1775448153528,key-42,38
1775448153581,key-17,360
1775448153678,key-43,191
1775448153986,key-24,337
1775448153987,key-47,458
1775448153987,key-42,497
1775448153987,key-17,766
1775448154018,key-47,489
1775448154018,key-47,489
1775448154019,key-3,1775
1775448154035,key-9,384
1775448154036,key-17,815
1775448154072,key-42,582
1775448154092,key-9,441
1775448154111,key-42,620
1775448154111,key-17,890
1775448154220,key-24,571
1775448154252,key-9,601
1775448154276,key-42,786
1775448154317,key-21,125
1775448154322,key-47,48
1775448154480,key-37,287
1775448154483,key-36,184
1775448154515,key-32,2229
1775448154520,key-37,327
1775448154534,key-45,91
1775448154568,key-43,293
1775448154584,key-43,309
1775448154667,key-45,224
1775448154669,key-37,476
1775448154830,key-47,556
1775448154831,key-35,330
1775448154850,key-7,44
1775448154860,key-45,417
1775448154884,key-35,383
1775448154977,key-32,2691
1775448154977,key-46,2673
1775448154978,key-28,172
1775448154978,key-16,141
1775448154984,key-16,147
1775448155011,key-28,205
1775448155015,key-16,178
1775448155023,key-1,2735
1775448155047,key-32,2761
1775448155241,key-11,298
1775448155256,key-16,419
1775448155262,key-11,319
1775448155298,key-11,355
1775448155318,key-36,110
1775448155322,key-11,379
1775448155368,key-16,531
1775448155375,key-23,103
1775448155402,key-22,35
1775448155499,key-8,1003
1775448155500,key-22,133
1775448155543,key-47,28
1775448155558,key-5,89
1775448155605,key-23,89
1775448155633,key-5,164
1775448155803,key-28,335
1775448155811,key-39,46
1775448155836,key-3,3592
1775448155860,key-23,344
1775448155860,key-14,284
1775448155860,key-2,3640
1775448155912,key-19,1285
1775448155928,key-5,104
1775448155960,key-3,3716
1775448155965,key-47,450
1775448155967,key-44,616
1775448155968,key-30,78
1775448155968,key-39,203
1775448155968,key-28,500
