Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /kv/{key},2835,0,100.0,87.03835789061675,51.4288330450654,202.8634159360081,84.80740740740741,104.83523330128314,0.0,100,110,110,110,110,110,130,150,180,200,200
PUT,PUT /kv/{key},2951,0,610.0,610.0285444171169,602.4325420148671,724.5712501462549,84.81633344628939,109.12478782084182,0.0,610,610,610,610,620,620,640,660,710,720,720
,Aggregated,5786,0,600.0,353.77600746540105,51.4288330450654,724.5712501462549,84.81195990321466,213.96002112212497,0.0,600,610,610,610,610,620,630,640,700,720,720
