timestamp_utc,total_lag
2026-04-21T10:29:58Z,0
2026-04-21T10:30:11Z,0
2026-04-21T10:30:23Z,0
2026-04-21T10:30:36Z,0
2026-04-21T10:30:48Z,0
2026-04-21T10:31:01Z,0
2026-04-21T10:31:13Z,0
2026-04-21T10:31:25Z,0
2026-04-21T10:31:37Z,0
2026-04-21T10:31:48Z,0
2026-04-21T10:32:00Z,0
2026-04-21T10:32:11Z,0
2026-04-21T10:32:22Z,0
2026-04-21T10:32:33Z,0
2026-04-21T10:32:44Z,0
2026-04-21T10:32:55Z,0
2026-04-21T10:33:06Z,0
2026-04-21T10:33:18Z,0
2026-04-21T10:33:29Z,0
2026-04-21T10:33:40Z,0
2026-04-21T10:33:52Z,0
2026-04-21T10:34:05Z,0
2026-04-21T10:34:17Z,0
2026-04-21T10:34:28Z,0
2026-04-21T10:34:41Z,0
2026-04-21T10:34:53Z,0
2026-04-21T10:35:05Z,0
2026-04-21T10:35:16Z,0
