timestamp_utc,total_lag
2026-04-21T10:29:58Z,0
2026-04-21T10:30:11Z,0
2026-04-21T10:30:23Z,0
2026-04-21T10:30:36Z,0
2026-04-21T10:30:48Z,0
2026-04-21T10:31:00Z,0
2026-04-21T10:31:11Z,0
2026-04-21T10:31:22Z,0
2026-04-21T10:31:34Z,0
2026-04-21T10:31:45Z,0
2026-04-21T10:31:58Z,0
2026-04-21T10:32:08Z,0
2026-04-21T10:32:19Z,0
2026-04-21T10:32:30Z,0
2026-04-21T10:32:41Z,0
2026-04-21T10:32:52Z,0
2026-04-21T10:33:04Z,0
2026-04-21T10:33:16Z,0
2026-04-21T10:33:27Z,0
2026-04-21T10:33:39Z,0
2026-04-21T10:33:52Z,0
2026-04-21T10:34:04Z,0
2026-04-21T10:34:15Z,0
2026-04-21T10:34:27Z,0
2026-04-21T10:34:39Z,0
2026-04-21T10:34:50Z,0
2026-04-21T10:35:02Z,0
2026-04-21T10:35:13Z,0
2026-04-21T10:35:24Z,0
