Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /notifications [MIXED],8032,0,2200.0,2186.3468677803817,120.59519200010982,4769.802675999017,103.0,26.757366582383224,0.0,2200,2300,2400,2500,2700,2700,2800,2900,4000,4800,4800
,Aggregated,8032,0,2200.0,2186.3468677803817,120.59519200010982,4769.802675999017,103.0,26.757366582383224,0.0,2200,2300,2400,2500,2700,2700,2800,2900,4000,4800,4800
