Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776752804,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776752805,10,,Aggregated,0.000000,0.000000,12,13,14,14,16,24,120,120,130,130,130,214,0,12,17.35416081774933,8.539272000007259,128.67311400009385,103.0
1776752806,20,,Aggregated,0.000000,0.000000,13,16,20,25,41,56,83,120,130,130,130,593,0,13,20.211344760534576,8.47373100009463,128.67311400009385,103.0
1776752807,30,,Aggregated,213.000000,0.000000,16,31,41,47,56,64,75,86,120,130,130,1021,0,16,27.288867710087963,8.47373100009463,128.67311400009385,103.0
1776752808,40,,Aggregated,213.000000,0.000000,31,48,56,59,68,77,86,100,120,130,130,1484,0,31,35.81777980862182,8.47373100009463,128.67311400009385,103.0
1776752809,50,,Aggregated,292.500000,0.000000,44,58,65,70,83,100,130,150,170,240,240,1920,0,44,45.592779511977625,8.47373100009463,244.55772400006026,103.0
1776752810,60,,Aggregated,371.000000,0.000000,54,68,79,85,110,140,160,170,240,250,250,2363,0,54,56.693567201437666,8.47373100009463,251.98029600005611,103.0
1776752811,70,,Aggregated,384.000000,0.000000,60,79,92,110,150,180,210,240,350,360,360,2737,0,60,70.12750588271605,8.47373100009463,360.65813999994134,103.0
1776752812,80,,Aggregated,393.666667,0.000000,66,90,110,140,180,210,260,310,380,400,400,3107,0,66,82.97006551431963,8.47373100009463,399.5623309999701,103.0
1776752813,80,,Aggregated,393.666667,0.000000,71,100,140,150,190,250,490,550,660,740,740,3369,0,71,97.78452306351703,8.47373100009463,737.7038079998783,103.0
1776752814,80,,Aggregated,386.750000,0.000000,81,120,150,160,190,250,460,550,660,740,740,3831,0,81,103.41303958966097,8.47373100009463,737.7038079998783,103.0
1776752815,80,,Aggregated,374.333333,0.000000,90,130,150,160,190,250,380,550,640,740,740,4271,0,90,108.16962695761895,8.47373100009463,737.7038079998783,103.0
1776752816,80,,Aggregated,374.333333,0.000000,100,140,150,160,190,250,360,540,640,740,740,4746,0,100.0,110.96174784639533,8.47373100009463,737.7038079998783,103.0
1776752817,80,,Aggregated,381.500000,0.000000,110,140,160,160,190,250,340,540,610,740,740,5219,0,110.0,113.31171359494047,8.47373100009463,737.7038079998783,103.0
1776752818,80,,Aggregated,416.100000,0.000000,110,140,160,170,190,250,330,530,610,740,740,5682,0,110.0,115.76569678035877,8.47373100009463,737.7038079998783,103.0
1776752819,80,,Aggregated,420.300000,0.000000,110,150,160,170,190,240,320,520,610,740,740,6153,0,110.0,117.71235192751449,8.47373100009463,737.7038079998783,103.0
1776752820,80,,Aggregated,420.300000,0.000000,120,150,160,170,190,250,310,500,610,740,740,6572,0,120.0,119.80025269050444,8.47373100009463,737.7038079998783,103.0
1776752821,80,,Aggregated,422.800000,0.000000,120,150,160,170,200,260,530,800,930,1100,1100,6729,0,120.0,128.70046949353488,8.47373100009463,1108.7930510000206,103.0
1776752822,80,,Aggregated,422.800000,0.000000,120,150,160,170,200,270,550,800,930,1100,1100,6845,0,120.0,131.24839560160643,8.47373100009463,1108.7930510000206,103.0
1776752823,80,,Aggregated,401.000000,0.000000,120,150,170,170,220,290,690,870,1000,1100,1100,7176,0,120.0,140.89828238113088,8.47373100009463,1108.7930510000206,103.0
1776752824,80,,Aggregated,375.100000,0.000000,130,150,170,180,230,300,660,870,1000,1100,1100,7555,0,130.0,142.90117347359322,8.47373100009463,1108.7930510000206,103.0
1776752825,80,,Aggregated,379.100000,0.000000,130,160,170,180,230,290,600,870,1000,1100,1100,7980,0,130.0,143.7167051340849,8.47373100009463,1108.7930510000206,103.0
1776752826,80,,Aggregated,372.100000,0.000000,130,160,170,180,220,290,580,860,1000,1100,1100,8440,0,130.0,143.7045085466826,8.47373100009463,1108.7930510000206,103.0
1776752827,80,,Aggregated,369.700000,0.000000,130,160,170,180,220,280,570,860,1000,1100,1100,8884,0,130.0,143.80766634804127,8.47373100009463,1108.7930510000206,103.0
1776752828,80,,Aggregated,367.800000,0.000000,140,160,170,180,230,280,560,860,1000,1100,1100,9284,0,140.0,145.0731171137442,8.47373100009463,1108.7930510000206,103.0
1776752829,80,,Aggregated,364.500000,0.000000,140,160,170,180,230,280,550,860,1000,1100,1100,9729,0,140.0,145.22503593750685,8.47373100009463,1108.7930510000206,103.0
1776752830,80,,Aggregated,358.100000,0.000000,140,160,170,180,220,270,550,850,1000,1100,1100,10181,0,140.0,145.40470363019386,8.47373100009463,1108.7930510000206,103.0
1776752831,80,,Aggregated,356.100000,0.000000,140,160,170,180,230,290,540,850,1000,1100,1100,10500,0,140.0,147.87794640828577,8.47373100009463,1108.7930510000206,103.0
1776752832,80,,Aggregated,358.300000,0.000000,140,160,170,180,230,290,540,850,1000,1100,1100,10911,0,140.0,148.33588263055634,8.47373100009463,1108.7930510000206,103.0
1776752833,80,,Aggregated,371.900000,0.000000,140,160,170,180,230,280,520,840,1000,1100,1100,11379,0,140.0,148.10220576008442,8.47373100009463,1108.7930510000206,103.0
1776752834,80,,Aggregated,403.700000,0.000000,140,160,170,180,230,280,510,830,1000,1100,1100,11771,0,140.0,148.45924234635993,8.47373100009463,1108.7930510000206,103.0
1776752835,80,,Aggregated,418.200000,0.000000,140,160,170,180,230,280,480,810,1000,1100,1100,12229,0,140.0,148.5713067890263,8.47373100009463,1108.7930510000206,103.0
1776752836,80,,Aggregated,422.600000,0.000000,140,160,170,180,230,280,460,810,1000,1100,1100,12694,0,140.0,148.4569139143694,8.47373100009463,1108.7930510000206,103.0
1776752837,80,,Aggregated,423.300000,0.000000,140,160,170,180,230,270,450,800,1000,1100,1100,13118,0,140.0,148.62488791210598,8.47373100009463,1108.7930510000206,103.0
1776752838,80,,Aggregated,421.800000,0.000000,140,160,170,180,230,270,440,800,1000,1100,1100,13536,0,140.0,149.0784236259607,8.47373100009463,1108.7930510000206,103.0
1776752839,80,,Aggregated,422.300000,0.000000,140,160,170,180,230,270,430,780,1000,1100,1100,13980,0,140.0,149.191834263162,8.47373100009463,1108.7930510000206,103.0
1776752840,80,,Aggregated,423.900000,0.000000,140,160,170,180,230,270,430,690,1000,1100,1100,14439,0,140.0,148.96342447136277,8.47373100009463,1108.7930510000206,103.0
1776752841,80,,Aggregated,421.900000,0.000000,140,160,170,180,230,270,420,660,1000,1100,1100,14902,0,140.0,148.80254767984252,8.47373100009463,1108.7930510000206,103.0
1776752842,80,,Aggregated,424.100000,0.000000,140,160,170,180,230,270,410,650,990,1100,1100,15363,0,140.0,148.61765706561349,8.47373100009463,1108.7930510000206,103.0
1776752843,80,,Aggregated,441.000000,0.000000,140,160,170,180,220,270,400,600,990,1100,1100,15810,0,140.0,148.49331020759138,8.47373100009463,1108.7930510000206,103.0
1776752844,80,,Aggregated,443.300000,0.000000,140,160,170,180,220,270,390,600,990,1100,1100,16259,0,140.0,148.50155896672734,8.47373100009463,1108.7930510000206,103.0
1776752845,80,,Aggregated,442.100000,0.000000,140,160,170,180,220,270,390,580,990,1100,1100,16727,0,140.0,148.26838828044598,8.47373100009463,1108.7930510000206,103.0
1776752846,80,,Aggregated,445.300000,0.000000,140,160,170,180,220,270,380,580,990,1100,1100,17183,0,140.0,148.14027906262157,8.47373100009463,1108.7930510000206,103.0
1776752847,80,,Aggregated,448.400000,0.000000,140,160,170,180,220,260,380,580,990,1100,1100,17630,0,140.0,148.08829267470335,8.47373100009463,1108.7930510000206,103.0
1776752848,80,,Aggregated,449.300000,0.000000,140,160,170,180,220,270,370,560,990,1100,1100,17967,0,140.0,148.4424269030456,8.47373100009463,1108.7930510000206,103.0
1776752849,80,,Aggregated,450.200000,0.000000,150,160,170,180,230,270,380,570,990,1100,1100,18396,0,150.0,149.32840156610231,8.47373100009463,1108.7930510000206,103.0
1776752850,80,,Aggregated,445.700000,0.000000,150,160,170,180,220,270,380,560,990,1100,1100,18837,0,150.0,149.2456383350332,8.47373100009463,1108.7930510000206,103.0
1776752851,80,,Aggregated,442.600000,0.000000,150,160,170,180,220,270,380,560,990,1100,1100,19273,0,150.0,149.450907758783,8.47373100009463,1108.7930510000206,103.0
1776752852,80,,Aggregated,441.100000,0.000000,150,160,170,180,220,270,380,560,990,1100,1100,19741,0,150.0,149.25497264667607,8.47373100009463,1108.7930510000206,103.0
1776752853,80,,Aggregated,437.200000,0.000000,150,160,170,180,220,270,370,550,980,1100,1100,20194,0,150.0,149.16079136634838,8.47373100009463,1108.7930510000206,103.0
